Point ID,arc_length,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Residual_Density,Residual_Energy,Residual_Momentum_0,Residual_Momentum_1,Residual_Momentum_2,Residual_Momentum_Magnitude,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,vtkValidPointMask,Y_Plus
613,6.13,2.09797e-05,4.3469,0,1.7915e-05,0.036604,0.000261421,-8.62E-07,0,0.000261423,6.13,0,0,6.13,1.73811,-0.130391,-4.44E-17,-1.44E-11,-3.30E-13,-9.17E-15,0,3.30531e-13,0,0,0,0,288.607,12.4606,-0.041081,0,12.4607,1,0
614,6.14,2.09798e-05,4.34692,0,1.7915e-05,0.0367394,0.000262385,-8.43E-07,0,0.000262387,6.14,0,0,6.14,1.73811,-0.129899,-4.40E-17,-1.43E-11,-3.32E-13,-8.39E-15,0,3.32088e-13,0,0,0,0,288.606,12.5065,-0.0401767,0,12.5066,1,0
615,6.15,2.09799e-05,4.34695,0,1.7915e-05,0.0368748,0.000263349,-8.24E-07,0,0.00026335,6.15,0,0,6.15,1.73812,-0.129408,-4.35E-17,-1.42E-11,-3.34E-13,-7.61E-15,0,3.33648e-13,0,0,0,0,288.606,12.5524,-0.0392724,0,12.5525,1,0
616,6.16,2.098e-05,4.34698,0,1.7915e-05,0.0370102,0.000264313,-8.05E-07,0,0.000264314,6.16,0,0,6.16,1.73812,-0.128916,-4.31E-17,-1.42E-11,-3.35E-13,-6.82E-15,0,3.35209e-13,0,0,0,0,288.606,12.5983,-0.0383681,0,12.5983,1,0
617,6.17,2.09801e-05,4.34699,0,1.7915e-05,0.0371003,0.000264958,-7.95E-07,0,0.000264959,6.17,0,0,6.17,1.73813,-0.128648,-4.29E-17,-1.41E-11,-3.34E-13,-6.95E-15,0,3.34261e-13,0,0,0,0,288.606,12.629,-0.0378485,0,12.6291,1,0
618,6.18,2.09801e-05,4.347,0,1.79149e-05,0.0371575,0.000265372,-7.90E-07,0,0.000265373,6.18,0,0,6.18,1.73813,-0.128543,-4.29E-17,-1.41E-11,-3.31E-13,-7.73E-15,0,3.31491e-13,0,0,0,0,288.605,12.6487,-0.0376085,0,12.6488,1,0
619,6.19,2.09801e-05,4.34701,0,1.79149e-05,0.0372147,0.000265785,-7.84E-07,0,0.000265787,6.19,0,0,6.19,1.73813,-0.128439,-4.29E-17,-1.40E-11,-3.29E-13,-8.52E-15,0,3.28723e-13,0,0,0,0,288.605,12.6684,-0.0373684,0,12.6685,1,0
620,6.2,2.09801e-05,4.34702,0,1.79149e-05,0.0372719,0.000266199,-7.79E-07,0,0.0002662,6.2,0,0,6.2,1.73813,-0.128334,-4.30E-17,-1.40E-11,-3.26E-13,-9.30E-15,0,3.25958e-13,0,0,0,0,288.605,12.6881,-0.0371284,0,12.6882,1,0
621,6.21,2.09802e-05,4.34703,0,1.79149e-05,0.0373291,0.000266613,-7.74E-07,0,0.000266614,6.21,0,0,6.21,1.73813,-0.128229,-4.30E-17,-1.39E-11,-3.23E-13,-1.01E-14,0,3.23194e-13,0,0,0,0,288.605,12.7078,-0.0368883,0,12.7079,1,0
622,6.22,2.09802e-05,4.34704,0,1.79149e-05,0.0373863,0.000267026,-7.69E-07,0,0.000267027,6.22,0,0,6.22,1.73813,-0.128124,-4.30E-17,-1.39E-11,-3.20E-13,-1.09E-14,0,3.20433e-13,0,0,0,0,288.605,12.7275,-0.0366483,0,12.7276,1,0
623,6.23,2.09802e-05,4.34705,0,1.79149e-05,0.0374435,0.00026744,-7.64E-07,0,0.000267441,6.23,0,0,6.23,1.73813,-0.128019,-4.31E-17,-1.38E-11,-3.17E-13,-1.17E-14,0,3.17674e-13,0,0,0,0,288.605,12.7472,-0.0364082,0,12.7473,1,0
624,6.24,2.09802e-05,4.34705,0,1.79149e-05,0.0375007,0.000267854,-7.59E-07,0,0.000267855,6.24,0,0,6.24,1.73814,-0.127914,-4.31E-17,-1.38E-11,-3.15E-13,-1.24E-14,0,3.14918e-13,0,0,0,0,288.605,12.7669,-0.0361682,0,12.767,1,0
625,6.25,2.09803e-05,4.34706,0,1.79149e-05,0.0375579,0.000268267,-7.54E-07,0,0.000268268,6.25,0,0,6.25,1.73814,-0.12781,-4.31E-17,-1.37E-11,-3.12E-13,-1.32E-14,0,3.12164e-13,0,0,0,0,288.605,12.7866,-0.0359281,0,12.7867,1,0
626,6.26,2.09803e-05,4.34707,0,1.79149e-05,0.037615,0.000268681,-7.49E-07,0,0.000268682,6.26,0,0,6.26,1.73814,-0.127705,-4.32E-17,-1.37E-11,-3.09E-13,-1.40E-14,0,3.09413e-13,0,0,0,0,288.604,12.8063,-0.0356881,0,12.8064,1,0
