"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
3606, 5.098619235927143e-02, -2.199695445919161e-01, 2.109275250308011e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.370659374890920e+00
3622, 1.001576588414208e-01, -3.002100967936064e-01, 2.103577498798073e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.358119975060992e+00
3630, 5.859526844240669e-01, -4.925567338290046e-01, 2.085869831496217e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.319306746622016e+00
3635, 9.092514009728780e-02, -2.875026243281556e-01, 2.104577699643615e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.360321055180281e+00
3667, 1.997899019071208e-01, -3.998423401830576e-01, 2.094730449799338e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.338656467265121e+00
3670, 7.367991854688194e-02, -2.612492835393179e-01, 2.106531775104007e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.364621432604552e+00
3689, 1.541333290849545e-03, -3.922954986405257e-02, 2.115938498025673e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385325581403264e+00
3690, 2.210349923696159e-02, -1.470201841872174e-01, 2.113052809525703e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.378973726887446e+00
3696, 3.680637045427771e-01, -4.822787720199019e-01, 2.086907240410311e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.321482858753758e+00
3714, 5.550625593688241e-04, 2.355322621052463e-02, 2.116081558590393e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385640461092122e+00
3725, 6.568423341295349e-02, -2.477293177924371e-01, 2.107476101333384e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.366699690384487e+00
3732, 3.227799531787090e-02, -1.767374502931695e-01, 2.111685451903463e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.375964094672208e+00
3742, 3.232625351295538e-01, 4.677219991738338e-01, 2.088230499714292e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.324381086457034e+00
3749, 7.445337324929635e-03, 8.596455244487533e-02, 2.115093810828076e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.383466272626951e+00
3751, 1.541333306494919e-03, 3.922955006284574e-02, 2.115939303319148e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385327312331636e+00
3771, 9.092514019138748e-02, 2.875026244620457e-01, 2.104578804377693e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.360323992376534e+00
3786, 1.197970212930766e-01, -3.247240289574871e-01, 2.101554269300530e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.353667879394692e+00
